url,googleStatus,localStatus,canonical,expectedStatus,action,evidence
https://bestaiagent.in/best-ai-agent,"1 clicks, 3 impressions, pos 50.67","200, indexable, sitemap",https://bestaiagent.in/best-ai-agent,preserve URL or redirect to equivalent,KEEP,git; git; git; git; git; gsc-protected; gsc; recovery; route; sitemap
https://bestaiagent.in/best-ai-agents-for-automation,"3 clicks, 38 impressions, pos 71.13","200, indexable, sitemap",https://bestaiagent.in/best-ai-agents-for-automation,preserve URL or redirect to equivalent,KEEP,git; git; git; git; git; gsc-protected; gsc; route; sitemap
https://bestaiagent.in/best-ai-agent-for-coding,"1 clicks, 5 impressions, pos 41.4","200, indexable, sitemap",https://bestaiagent.in/best-ai-agent-for-coding,preserve URL or redirect to equivalent,KEEP,git; git; git; git; git; gsc-protected; gsc; recovery; route; sitemap
https://bestaiagent.in/best-ai-agents,"1 clicks, 8 impressions, pos 20.88",301 redirect to https://bestaiagent.in/best-ai-agent,,preserve URL or redirect to equivalent,REDIRECT,git; git; git; git; git; gsc; recovery
https://bestaiagent.in/best-ai-agent-india,"1 clicks, 3 impressions, pos 3.33",301 redirect to https://bestaiagent.in/built-in-india,,preserve URL or redirect to equivalent,REDIRECT,git; git; git; git; gsc; recovery
https://bestaiagent.in/cursor-pricing,"11 clicks, 1532 impressions, pos 7.19",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/claude-code-pricing,"2 clicks, 126 impressions, pos 10.2",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/github-copilot-pricing,"1 clicks, 364 impressions, pos 9.26",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/cursor-vs-codex,"1 clicks, 29 impressions, pos 19.28",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/glossary-hub,"1 clicks, 27 impressions, pos 7.11",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/claude-code-alternatives,"1 clicks, 26 impressions, pos 10.54",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/how-to-use-cursor-ai,"1 clicks, 20 impressions, pos 7.5",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/flowise-alternatives,"1 clicks, 16 impressions, pos 33.06",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/mcp-directory,"1 clicks, 15 impressions, pos 17.47",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/best-mcp-servers,"3 clicks, 28 impressions, pos 32.04",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/best-free-ai-coding-agents,"2 clicks, 16 impressions, pos 5.69",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/ai-agents-for-finance,"2 clicks, 41 impressions, pos 34.1",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/best-ai-voice-agent,"1 clicks, 46 impressions, pos 32.63",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/ai-agent-rankings,"1 clicks, 11 impressions, pos 19.73",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/tools/cursor-ai,"2 clicks, 102 impressions, pos 17.45",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/tools/yellow-ai,"1 clicks, 102 impressions, pos 21.42",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/tools/flowise,"1 clicks, 170 impressions, pos 22.13",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/blog/mcp-agent-interoperability/mcp-authentication-oauth/the-emerging-stack-for-short-lived-agent-credentials-what-builders-need-now,"1 clicks, 1 impressions, pos 5",410 Gone,,preserve URL or redirect to equivalent,REMOVE,git; git; git; git; gsc-protected; gsc; recovery
https://bestaiagent.in/,unknown,"200, indexable, sitemap",https://bestaiagent.in/,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/models,unknown,"200, indexable, sitemap",https://bestaiagent.in/models,no action,KEEP,route; sitemap; git; git; git; git
https://bestaiagent.in/agents,unknown,"200, indexable, sitemap",https://bestaiagent.in/agents,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/providers,unknown,"200, indexable, sitemap",https://bestaiagent.in/providers,no action,KEEP,route; sitemap; git; git; git
https://bestaiagent.in/categories,unknown,"200, indexable, sitemap",https://bestaiagent.in/categories,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/compare,unknown,"200, indexable, sitemap",https://bestaiagent.in/compare,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/best-ai-agent-for-business,unknown,"200, indexable, sitemap",https://bestaiagent.in/best-ai-agent-for-business,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/best-ai-agent-alternatives,unknown,"200, indexable, sitemap",https://bestaiagent.in/best-ai-agent-alternatives,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/built-in-india,unknown,"200, indexable, sitemap",https://bestaiagent.in/built-in-india,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/marketplace,unknown,"200, indexable, sitemap",https://bestaiagent.in/marketplace,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/resources,unknown,"200, indexable, sitemap",https://bestaiagent.in/resources,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/about,unknown,"200, indexable, sitemap",https://bestaiagent.in/about,no action,KEEP,route; sitemap; git; git; git; git; git
https://bestaiagent.in/methodology,unknown,"200, indexable, sitemap",https://bestaiagent.in/methodology,no action,KEEP,route; sitemap; git; git; git; git; git
